n,d,outlier_fraction,outlier_mag,trial,s,true_cv,true_M,cv_hat,pilot_cv,M_hat,cv_rel_error,M_rel_error
1000,3,0.05,2.0,2,30,0.6436184853347732,6.685255422490038,0.6907963436306013,0.6907963436306013,3.496211694995211,0.07330096846315547,0.4770264598666618
1000,3,0.05,2.0,2,50,0.6436184853347732,6.685255422490038,0.6770049515333226,0.6770049515333226,3.317190084485748,0.0518730691539783,0.5038050343856266
1000,3,0.05,2.0,2,100,0.6436184853347732,6.685255422490038,0.6900025191169987,0.6900025191169987,5.8545536945628704,0.07206759103275173,0.12425878675219841
1000,3,0.05,5.0,0,10,1.322654341020879,7.809373922547658,1.3890773143759243,1.3890773143759243,4.899969851846404,0.05021944985549076,0.37255279354738813
1000,3,0.05,5.0,0,30,1.322654341020879,7.809373922547658,1.392153437293611,1.392153437293611,5.99590791417724,0.05254516929879784,0.23221656772439575
1000,3,0.05,5.0,0,50,1.322654341020879,7.809373922547658,1.4611981279489132,1.4611981279489132,6.832677539775844,0.10474678276192731,0.12506718111574114
1000,3,0.05,5.0,0,100,1.322654341020879,7.809373922547658,1.3489808149422011,1.3489808149422011,6.972030836766694,0.01990427362979974,0.10722281889503843
1000,3,0.05,5.0,1,10,1.2985808873964355,8.313744404611858,1.4227083229875734,1.4227083229875734,4.9163667730420695,0.09558698791571221,0.40864590805620293
1000,3,0.05,5.0,1,30,1.2985808873964355,8.313744404611858,1.4768907509951852,1.4768907509951852,6.19282440491638,0.13731132602471038,0.255110079944116
1000,3,0.05,5.0,1,50,1.2985808873964355,8.313744404611858,1.4228418306421722,1.4228418306421722,6.774264689892666,0.09568979834199719,0.18517284628875544
1000,3,0.05,5.0,1,100,1.2985808873964355,8.313744404611858,1.3086474287778833,1.3086474287778833,7.603733464462602,0.007751955599493319,0.08540206501361702
1000,3,0.05,5.0,2,10,1.208561744925839,7.712949719548932,1.0350056962558118,1.0350056962558118,3.681258476487301,0.14360544622457588,0.5227171691322022
1000,3,0.05,5.0,2,30,1.208561744925839,7.712949719548932,0.46986578645366833,0.46986578645366833,2.3475454521918095,0.6112190474120123,0.695635841338131
1000,3,0.05,5.0,2,50,1.208561744925839,7.712949719548932,1.220276258722295,1.220276258722295,5.56943384701986,0.009692937779670403,0.27791129859127733
1000,3,0.05,5.0,2,100,1.208561744925839,7.712949719548932,1.4301779753589572,1.4301779753589572,6.3473503390496155,0.18337187269378383,0.17705280471855311
1000,3,0.05,10.0,0,10,2.507398434602011,12.789785607408268,2.3991319006117466,2.3991319006117466,7.824413593061071,0.04317883129230282,0.38822949553361463
1000,3,0.05,10.0,0,30,2.507398434602011,12.789785607408268,2.6412014512184387,2.6412014512184387,14.79963645052844,0.05336328473765905,0.15714499873680451
1000,3,0.05,10.0,0,50,2.507398434602011,12.789785607408268,2.3831423099877327,2.3831423099877327,9.027684420786391,0.04955579572019675,0.294148885845494
1000,3,0.05,10.0,0,100,2.507398434602011,12.789785607408268,2.230261672677761,2.230261672677761,8.612500395636973,0.11052761224533457,0.32661104259258833
1000,3,0.05,10.0,1,10,2.520669114923294,12.78671987327333,2.5160605383472125,2.5160605383472125,8.15627462399505,0.0018283147711838856,0.3621292477797054
